Date,close,YLD_CNV_LAST
2018-08-03,96.643,7.184
2018-08-06,96.123,7.233
2018-08-07,95.481,7.294
2018-08-08,94.56,7.384
2018-08-09,93.448,7.493
2018-08-10,92.221,7.616
2018-08-13,90.224,7.822
2018-08-14,91.194,7.721
2018-08-15,90.941,7.747
2018-08-16,92.674,7.571
2018-08-17,92.055,7.633
2018-08-20,92.406,7.598
2018-08-21,92.221,7.616
2018-08-22,90.167,7.828
2018-08-23,90.771,7.765
2018-08-24,90.24,7.821
2018-08-27,90.317,7.813
2018-08-28,90.152,7.83
2018-08-29,90.183,7.827
2018-08-30,90.254,7.819
2018-08-31,90.011,7.845
2018-09-04,89.134,7.938
2018-09-05,89.392,7.91
2018-09-06,91.048,7.737
2018-09-07,90.914,7.751
2018-09-10,90.486,7.795
2018-09-11,89.612,7.887
2018-09-12,90.529,7.791
2018-09-13,89.739,7.874
2018-09-14,89.76,7.872
2018-09-17,89.929,7.854
2018-09-18,89.366,7.914
2018-09-19,89.795,7.868
2018-09-20,91.146,7.727
2018-09-21,92.678,7.571
2018-09-24,92.531,7.586
2018-09-25,91.247,7.717
2018-09-26,92.944,7.544
2018-09-27,93.498,7.489
2018-09-28,93.045,7.534
2018-10-01,92.449,7.594
2018-10-02,93.733,7.466
2018-10-03,95.323,7.31
2018-10-04,93.571,7.482
2018-10-05,93.437,7.495
2018-10-09,95.912,7.254
2018-10-10,93.829,7.456
2018-10-11,95.099,7.332
2018-10-12,95.695,7.275
2018-10-15,96.103,7.235
2018-10-16,96.89,7.161
2018-10-17,96.551,7.193
2018-10-18,96.152,7.231
2018-10-19,96.241,7.222
2018-10-22,96.133,7.233
2018-10-23,94.771,7.364
2018-10-24,95.109,7.331
2018-10-25,94.613,7.38
2018-10-26,94.842,7.357
2018-10-29,95.059,7.336
2018-10-30,95.236,7.319
2018-10-31,95.827,7.262
2018-11-01,95.837,7.261
2018-11-02,96.226,7.224
2018-11-05,97.469,7.107
2018-11-06,96.931,7.157
2018-11-07,97.113,7.14
2018-11-08,96.744,7.175
2018-11-09,97.078,7.143
2018-11-13,96.73,7.176
2018-11-14,96.285,7.219
2018-11-15,95.416,7.302
2018-11-16,95.805,7.265
2018-11-19,95.298,7.314
2018-11-20,94.778,7.365
2018-11-21,94.64,7.378
2018-11-23,94.756,7.367
2018-11-26,94.318,7.41
2018-11-27,92.971,7.544
2018-11-28,93.817,7.46
2018-11-29,93.938,7.448
2018-11-30,94.289,7.413
2018-12-03,95.879,7.258
2018-12-04,95.633,7.282
2018-12-06,94.389,7.404
2018-12-07,96.225,7.225
2018-12-10,95.656,7.28
2018-12-11,95.786,7.268
2018-12-12,95.783,7.268
2018-12-13,96.276,7.221
2018-12-14,96.205,7.227
2018-12-17,96.247,7.223
2018-12-18,96.502,7.199
2018-12-19,96.65,7.185
2018-12-20,95.63,7.283
2018-12-21,95.636,7.283
2018-12-24,95.767,7.27
2018-12-26,94.865,7.358
2018-12-27,95.318,7.314
2018-12-28,95.817,7.265
2018-12-31,95.948,7.253
2019-01-02,95.995,7.248
2019-01-03,96.658,7.185
2019-01-04,96.993,7.153
2019-01-07,97.876,7.07
2019-01-08,98.672,6.996
2019-01-09,99.989,6.876
2019-01-10,99.503,6.92
2019-01-11,99.769,6.896
2019-01-14,99.619,6.91
2019-01-15,99.939,6.88
2019-01-16,99.895,6.884
2019-01-17,99.551,6.916
2019-01-18,100.178,6.859
2019-01-22,100.171,6.859
2019-01-23,100.28,6.85
2019-01-24,100.439,6.835
2019-01-25,100.129,6.863
2019-01-28,99.896,6.884
2019-01-29,100.112,6.865
2019-01-30,100.492,6.83
2019-01-31,101.49,6.741
2019-02-01,101.517,6.738
2019-02-04,101.769,6.716
2019-02-05,102.234,6.675
2019-02-06,101.939,6.701
2019-02-07,101.859,6.708
2019-02-08,101.66,6.726
2019-02-11,100.816,6.801
2019-02-12,100.953,6.789
2019-02-13,101.829,6.711
2019-02-14,101.542,6.736
2019-02-15,102.494,6.652
2019-02-19,102.551,6.647
2019-02-20,102.569,6.645
2019-02-21,102.236,6.674
2019-02-22,102.53,6.648
2019-02-25,102.869,6.619
2019-02-26,103.385,6.574
2019-02-27,103.335,6.578
2019-02-28,103.218,6.588
2019-03-01,103.234,6.587
2019-03-04,103.603,6.555
2019-03-05,103.067,6.601
2019-03-06,102.636,6.639
2019-03-07,102.213,6.676
2019-03-08,102.092,6.687
2019-03-11,103.562,6.558
2019-03-12,103.814,6.536
2019-03-13,103.062,6.601
2019-03-14,102.88,6.617
2019-03-15,103.498,6.563
2019-03-18,103.126,6.596
2019-03-19,103.609,6.554
2019-03-20,103.78,6.539
2019-03-21,103.32,6.579
2019-03-22,102.615,6.64
2019-03-25,102.539,6.647
2019-03-26,102.374,6.661
2019-03-27,101.291,6.757
2019-03-28,101.673,6.723
2019-03-29,102.315,6.666
2019-04-01,101.83,6.709
2019-04-02,101.792,6.713
2019-04-03,101.798,6.712
2019-04-04,101.912,6.702
2019-04-05,102.368,6.662
2019-04-08,102.073,6.688
2019-04-09,102.345,6.664
2019-04-10,103.012,6.605
2019-04-11,102.712,6.631
2019-04-12,101.921,6.701
2019-04-15,101.731,6.718
2019-04-16,101.893,6.704
2019-04-17,102.334,6.664
2019-04-18,102.314,6.666
2019-04-22,102.06,6.689
2019-04-23,102.848,6.619
2019-04-24,103.104,6.597
2019-04-25,102.341,6.664
2019-04-26,102.989,6.607
2019-04-29,102.924,6.613
2019-04-30,103.261,6.583
2019-05-01,103.106,6.597
2019-05-02,103.027,6.604
2019-05-03,103.411,6.57
2019-05-06,103.365,6.574
2019-05-07,103.777,6.538
2019-05-08,103.625,6.551
2019-05-09,103.56,6.557
2019-05-10,103.474,6.564
2019-05-13,103.074,6.599
2019-05-14,103.219,6.587
2019-05-15,103.251,6.584
2019-05-16,103.063,6.6
2019-05-17,102.768,6.626
2019-05-20,102.172,6.679
2019-05-21,103.206,6.588
2019-05-22,103.682,6.546
2019-05-23,102.691,6.633
2019-05-24,103.319,6.578
2019-05-28,103.442,6.567
2019-05-29,102.82,6.621
2019-05-30,103.673,6.547
2019-05-31,103.455,6.566
2019-06-03,103.878,6.529
2019-06-04,103.693,6.545
2019-06-05,103.992,6.519
2019-06-06,104.132,6.507
2019-06-07,104.976,6.435
2019-06-10,105.228,6.413
2019-06-11,106.077,6.342
2019-06-12,106.703,6.289
2019-06-13,107.242,6.245
2019-06-14,106.9,6.273
